Date,Value,Open,High,Low,Vol.,Change %
01/04/2012,1612.40,1602.75,1618.92,1593.10,,0.51%
01/03/2012,1604.14,1566.20,1607.45,1565.85,,2.42%
01/02/2012,1566.27,1566.61,1569.61,1565.37,,0.13%
12/30/2011,1564.30,1545.89,1581.26,1544.75,,1.14%
12/29/2011,1546.70,1556.39,1561.51,1522.64,,-0.41%
12/28/2011,1553.00,1593.75,1593.81,1550.10,,-2.50%
12/27/2011,1592.90,1607.51,1607.79,1589.75,,-0.80%
12/26/2011,1605.82,1607.51,1612.15,1597.86,,-0.05%
12/23/2011,1606.60,1606.75,1614.31,1603.15,,0.12%
12/22/2011,1604.70,1615.35,1617.36,1599.15,,-0.65%
12/21/2011,1615.15,1615.26,1642.36,1606.40,,-0.03%
12/20/2011,1615.65,1594.26,1619.12,1592.35,,1.35%
12/19/2011,1594.10,1599.35,1608.50,1583.44,,-0.24%
12/16/2011,1597.95,1570.24,1600.95,1568.86,,1.73%
12/15/2011,1570.70,1574.49,1594.26,1561.07,,-0.28%
12/14/2011,1575.10,1632.11,1641.89,1564.85,,-3.49%
12/13/2011,1632.10,1666.25,1678.30,1622.75,,-2.05%
12/12/2011,1666.30,1711.64,1715.05,1657.90,,-2.62%
12/09/2011,1711.10,1708.29,1724.30,1703.54,,0.13%
12/08/2011,1708.80,1742.00,1754.70,1704.51,,-1.91%
12/07/2011,1742.10,1728.46,1743.26,1720.65,,0.80%
12/06/2011,1728.20,1722.50,1733.46,1702.85,,0.38%
12/05/2011,1721.64,1746.15,1755.30,1718.44,,-1.35%
12/02/2011,1745.25,1745.16,1762.61,1738.15,,0.00%
12/01/2011,1745.25,1746.85,1754.86,1734.10,,-0.03%
11/30/2011,1745.70,1714.99,1750.23,1701.00,,1.69%
11/29/2011,1716.75,1712.05,1720.76,1704.11,,0.26%
11/28/2011,1712.30,1680.80,1720.49,1680.80,,1.91%
11/25/2011,1680.13,1694.85,1697.90,1672.09,,-0.86%
11/24/2011,1694.75,1692.39,1702.23,1687.69,,0.09%
11/23/2011,1693.30,1700.66,1710.77,1677.94,,-0.35%
11/22/2011,1699.20,1679.30,1705.80,1671.55,,1.09%
11/21/2011,1680.85,1723.30,1726.64,1666.54,,-2.45%
11/18/2011,1723.05,1722.29,1737.79,1711.34,,0.23%
11/17/2011,1719.10,1762.19,1767.16,1710.05,,-2.45%
11/16/2011,1762.35,1781.94,1784.14,1754.25,,-1.07%
11/15/2011,1781.40,1780.39,1785.85,1760.54,,0.02%
11/14/2011,1781.00,1788.14,1796.16,1773.59,,-0.45%
11/11/2011,1788.99,1759.64,1789.41,1746.05,,1.69%
11/10/2011,1759.20,1770.71,1775.85,1736.55,,-0.74%
11/09/2011,1772.24,1785.20,1799.64,1764.14,,-0.71%
11/08/2011,1785.00,1794.89,1803.10,1777.10,,-0.60%
11/07/2011,1795.86,1753.95,1798.69,1752.89,,2.38%
11/04/2011,1754.15,1763.26,1764.90,1750.00,,-0.51%
11/03/2011,1763.15,1736.50,1767.90,1722.84,,1.51%
11/02/2011,1737.00,1720.90,1745.89,1715.74,,0.97%
11/01/2011,1720.30,1716.05,1725.29,1683.74,,0.29%
10/31/2011,1715.25,1744.15,1746.50,1706.59,,-1.59%
10/28/2011,1742.95,1744.70,1752.85,1733.00,,-0.09%
10/27/2011,1744.45,1725.24,1750.11,1705.74,,1.08%
10/26/2011,1725.75,1707.19,1728.50,1696.70,,1.20%
10/25/2011,1705.35,1654.40,1710.80,1645.24,,3.19%
10/24/2011,1652.68,1641.99,1662.09,1635.60,,0.71%
10/21/2011,1641.02,1618.99,1648.59,1611.44,,1.35%
10/20/2011,1619.10,1643.44,1645.00,1603.99,,-1.38%
10/19/2011,1641.80,1654.75,1665.39,1639.40,,-0.81%
10/18/2011,1655.15,1671.20,1677.22,1627.20,,-0.93%
10/17/2011,1670.65,1683.29,1696.10,1666.44,,-0.55%
10/14/2011,1679.95,1667.30,1684.26,1661.50,,0.79%
10/13/2011,1666.70,1674.89,1684.39,1653.19,,-0.63%
10/12/2011,1677.20,1662.29,1692.10,1660.39,,0.85%
10/11/2011,1663.10,1676.45,1685.22,1654.46,,-0.74%
10/10/2011,1675.44,1654.14,1678.10,1638.09,,2.20%
10/07/2011,1639.45,1644.20,1666.55,1625.95,,-0.68%
10/06/2011,1650.63,1641.49,1655.65,1632.24,,0.59%
10/05/2011,1640.90,1624.69,1646.70,1597.25,,1.02%
10/04/2011,1624.30,1660.65,1678.86,1596.00,,-2.21%
10/03/2011,1660.95,1618.35,1664.46,1618.35,,2.29%
09/30/2011,1623.75,1615.99,1640.49,1607.19,,0.57%
09/29/2011,1614.55,1606.94,1634.09,1583.30,,0.36%
09/28/2011,1608.80,1650.25,1668.85,1598.70,,-2.49%
09/27/2011,1649.95,1624.79,1677.19,1614.91,,1.39%
09/26/2011,1627.35,1657.29,1662.99,1534.99,,-1.77%
09/23/2011,1656.59,1737.63,1756.01,1629.99,,-4.56%
09/22/2011,1735.83,1779.34,1786.19,1721.84,,-2.58%
09/21/2011,1781.79,1803.54,1816.76,1778.80,,-1.22%
09/20/2011,1803.75,1778.34,1811.40,1770.24,,1.41%
09/19/2011,1778.75,1818.50,1828.47,1770.70,,-1.83%
09/16/2011,1811.95,1788.45,1822.20,1763.05,,1.27%
09/15/2011,1789.14,1820.60,1826.49,1772.54,,-1.68%
09/14/2011,1819.70,1833.64,1844.89,1808.29,,-0.77%
09/13/2011,1833.80,1813.75,1843.70,1799.25,,1.11%
09/12/2011,1813.75,1857.66,1861.60,1801.09,,-2.37%
09/09/2011,1857.81,1868.76,1885.89,1824.94,,-0.59%
09/08/2011,1868.76,1816.96,1870.30,1812.99,,2.85%
09/07/2011,1816.96,1872.39,1880.61,1793.69,,-3.03%
09/06/2011,1873.72,1903.40,1921.11,1860.91,,-1.41%
09/05/2011,1900.49,1877.99,1904.20,1875.30,,0.86%
09/02/2011,1884.20,1824.84,1884.90,1824.00,,3.24%
09/01/2011,1825.05,1823.09,1830.60,1814.65,,0.07%
08/31/2011,1823.80,1835.39,1839.70,1812.89,,-0.63%
08/30/2011,1835.30,1787.96,1840.26,1784.05,,2.62%
08/29/2011,1788.45,1837.84,1839.24,1776.64,,-2.19%
08/26/2011,1828.55,1772.64,1829.15,1757.24,,3.21%
